OFFGAS SYSTEM LOGS
============================================================

[2026-05-07T16:33:36.762077] EVENT=BLUETOOTH_CONNECTED | GARAGE=G1 | GAS=None | TOPIC=None | STATUS=INFO
[2026-05-07T16:33:41.807486] EVENT=MQTT_CONNECT_FAILED | GARAGE=G1 | GAS=None | TOPIC=host.docker.internal | STATUS=ERROR
[2026-05-07T16:37:59.215025] EVENT=BLUETOOTH_CONNECTED | GARAGE=G1 | GAS=None | TOPIC=None | STATUS=INFO
[2026-05-07T16:37:59.337888] EVENT=MQTT_CONNECTED | GARAGE=G1 | GAS=None | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:37:59.558571] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=168 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:38:04.596268] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=170 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:38:09.576510] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=168 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:38:14.602394] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=168 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:38:19.562253] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=170 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:38:24.612098] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=168 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:38:29.569087] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=169 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:38:34.621647] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=168 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:38:39.615517] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=169 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:38:44.636495] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=167 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:38:49.580469] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=170 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:38:54.648490] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=169 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:38:59.608534] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=171 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:39:04.654966] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=168 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:39:09.644837] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=168 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:39:14.665599] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=169 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:39:19.700422] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=168 | TOPIC=garages/G1/telemetry | STATUS=INFO
